n_qubits,n_gates,depth,ideal_0,ideal_1,ideal_2,ideal_3,ideal_4,ideal_5,ideal_6,ideal_7,ideal_8,ideal_9,ideal_10,ideal_11,ideal_12,ideal_13,ideal_14,ideal_15,low_0,low_1,low_2,low_3,low_4,low_5,low_6,low_7,low_8,low_9,low_10,low_11,low_12,low_13,low_14,low_15,moderate_0,moderate_1,moderate_2,moderate_3,moderate_4,moderate_5,moderate_6,moderate_7,moderate_8,moderate_9,moderate_10,moderate_11,moderate_12,moderate_13,moderate_14,moderate_15,high_0,high_1,high_2,high_3,high_4,high_5,high_6,high_7,high_8,high_9,high_10,high_11,high_12,high_13,high_14,high_15
4,8,2,0.1036,0.0,0.0,0.0,0.4003,0.0,0.0,0.0,0.1065,0.0,0.0,0.0,0.3896,0.0,0.0,0.0,0.1435,0.0549,0.0695,0.0351,0.1451,0.0571,0.0675,0.0347,0.0753,0.0366,0.0563,0.0291,0.0731,0.0383,0.0555,0.0284,0.1389,0.0767,0.0777,0.0449,0.1199,0.0665,0.0639,0.0382,0.0709,0.0436,0.0541,0.0313,0.0684,0.0364,0.0434,0.0252,0.1409,0.0854,0.0833,0.0495,0.1128,0.0633,0.0615,0.0376,0.0765,0.0466,0.0529,0.0276,0.0665,0.0342,0.0388,0.0226
4,12,7,0.0,0.0,0.4988,0.5012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1445,0.0614,0.0949,0.0607,0.0615,0.0346,0.0556,0.0361,0.1005,0.0559,0.0863,0.0517,0.053,0.0313,0.0436,0.0284,0.1436,0.0668,0.1006,0.0536,0.0725,0.0408,0.0556,0.0308,0.0917,0.0547,0.0802,0.0497,0.0542,0.0328,0.0448,0.0276,0.1346,0.0708,0.0943,0.0578,0.0743,0.0424,0.0546,0.0347,0.0968,0.0552,0.0738,0.0466,0.0571,0.0353,0.0449,0.0268
3,12,8,0.0,0.0019,0.275,0.0,0.2249,0.4982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2047,0.1149,0.1164,0.088,0.1523,0.1095,0.1238,0.0904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.1342,0.1132,0.0807,0.1491,0.1043,0.1178,0.0797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2157,0.1446,0.1227,0.0834,0.1523,0.1009,0.1101,0.0703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6794,0.0802,0.0505,0.0054,0.0357,0.0035,0.0034,0.0006,0.0764,0.0505,0.0061,0.0036,0.003,0.0012,0.0002,0.0003,0.4794,0.1124,0.0708,0.018,0.054,0.0116,0.007,0.0018,0.115,0.0763,0.0166,0.012,0.0121,0.0094,0.002,0.0016,0.344,0.1296,0.087,0.034,0.0589,0.0219,0.0158,0.0061,0.1184,0.0866,0.0347,0.017,0.0228,0.0147,0.0049,0.0036
4,14,5,0.0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0381,0.0,0.0,0.9439,0.0,0.0009,0.0,0.0,0.0,0.0925,0.071,0.0656,0.0497,0.0525,0.0387,0.0473,0.0421,0.1139,0.0796,0.085,0.0584,0.0557,0.0498,0.0524,0.0458,0.1258,0.0971,0.0641,0.0499,0.0729,0.0567,0.0495,0.044,0.0951,0.0767,0.0511,0.0372,0.0564,0.0468,0.0429,0.0338,0.135,0.1024,0.0684,0.056,0.0813,0.0603,0.0561,0.0445,0.087,0.066,0.043,0.0371,0.0517,0.0425,0.0358,0.0329
4,16,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.0746,0.0729,0.046,0.0572,0.0499,0.0433,0.035,0.1375,0.067,0.0621,0.0427,0.0566,0.0486,0.0366,0.029,0.1432,0.0793,0.0781,0.0467,0.0717,0.0531,0.0405,0.0314,0.1179,0.0602,0.071,0.0395,0.0616,0.0447,0.0356,0.0255,0.1348,0.0791,0.0811,0.0472,0.0778,0.0533,0.0453,0.0292,0.1063,0.0645,0.0704,0.0419,0.0672,0.0402,0.0394,0.0223
4,16,7,0.0213,0.3018,0.0,0.0,0.33,0.3469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178,0.1093,0.0528,0.054,0.0798,0.076,0.049,0.0443,0.0627,0.0612,0.0598,0.0571,0.0497,0.0414,0.0456,0.0395,0.133,0.1154,0.0676,0.0556,0.0776,0.0665,0.0411,0.0365,0.0709,0.064,0.0603,0.0513,0.05,0.0419,0.037,0.0313,0.1309,0.1067,0.0726,0.0613,0.0785,0.0642,0.0478,0.0408,0.078,0.0597,0.0583,0.0467,0.0453,0.0422,0.0362,0.0308
2,11,6,0.3307,0.17,0.3639,0.1354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3306,0.2165,0.2876,0.1653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162,0.2434,0.2611,0.1793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3244,0.2441,0.2427,0.1888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,0.0758,0.0761,0.0,0.0,0.4197,0.4284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1284,0.1143,0.0654,0.0641,0.073,0.0729,0.0765,0.0712,0.0553,0.0513,0.0426,0.0334,0.0401,0.0369,0.0394,0.0352,0.1242,0.1057,0.0699,0.0591,0.0777,0.0659,0.0772,0.0666,0.0636,0.0552,0.0393,0.0363,0.0464,0.0384,0.0398,0.0347,0.1247,0.0975,0.0727,0.0601,0.0779,0.0695,0.0707,0.0613,0.07,0.0584,0.048,0.0347,0.0474,0.0402,0.0381,0.0288
2,16,8,0.1581,0.7822,0.0314,0.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2351,0.4956,0.1261,0.1432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2747,0.3762,0.1691,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2947,0.3173,0.195,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
